dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
47,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Сырники творожные 5%,сырники творожные 5%,205,14,5,26,1,True,1304736,3671520,Сырники творожные 5% Зелёная Линия,100,0.0,,1.000,True,1570981,4200603,"Сырники жареные Перекрёсток Select, 110г",0.742,1440678,4201519,"Сырники жареные Перекрёсток Select, 440г",0.742
48,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Сырнички с вареной сгущенк.,сырнички с вареной сгущенк,200,10,8,21,120,True,1430494,4189742,"Сырнички с варёной сгущенкой Зелёная Линия, 120г",82,0.0,0,0.891,True,1570981,4200603,"Сырники жареные Перекрёсток Select, 110г",0.734,1440678,4201519,"Сырники жареные Перекрёсток Select, 440г",0.734
49,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Сырнички с грушей и персик.,сырнички с грушей и персик,170,9,6.5,18,120,True,1430495,4189743,"Сырнички с грушей и персиком Зелёная Линия, 120г",84,0.0,0,0.907,True,1430496,4189744,"Сырнички с вишней Зелёная Линия, 120г",0.758,1612500,78035124,"Пирожное Персик, 120г",0.562
50,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Сырнички с вишней,сырнички с вишней,170,9,6.5,18,120,True,1430496,4189744,"Сырнички с вишней Зелёная Линия, 120г",100,0.0,0,1.000,True,1430495,4189743,"Сырнички с грушей и персиком Зелёная Линия, 120г",0.844,1430494,4189742,"Сырнички с варёной сгущенкой Зелёная Линия, 120г",0.786
51,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Запеканка твор.с чер.см.охл.,запеканка твор с чер см охл,177,11.4,5,21.6,200,True,1494442,4273203,"Запеканка творожная с чёрной смородиной Зелёная Линия, 200г",62,0.0,0,0.775,False,1599232,4344257,"Запеканка творожная с клубникой и папайей Зелёная Линия, 200г",0.726,1615181,4344256,"Запеканка творожная с черноплодной рябиной и чёрной смородиной Шеф Перекрёсток, 200г",0.711
52,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Запеканка твор.яб/кор.охл.,запеканка твор яб кор охл,189,12.5,5,23.5,200,True,1494443,4273204,"Запеканка творожная с яблоком и корицей Зелёная Линия, 200г",59,0.0,0,0.754,False,1494445,4273205,"Запеканка творожная Зелёная Линия, 200г",0.752,1494446,4273206,"Запеканка творожная с грушей Зелёная Линия, 200г",0.705
53,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Запеканка твор.охл.,запеканка твор охл,179,11.3,5,22.2,200,True,1494445,4273205,"Запеканка творожная Зелёная Линия, 200г",67,0.0,0,0.800,True,1494446,4273206,"Запеканка творожная с грушей Зелёная Линия, 200г",0.784,1599232,4344257,"Запеканка творожная с клубникой и папайей Зелёная Линия, 200г",0.774
54,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Запеканка твор.с грушей охл.,запеканка твор с грушей охл,171.4,10.6,5,21,200,True,1494446,4273206,"Запеканка творожная с грушей Зелёная Линия, 200г",80,0.0,0,0.880,True,1494445,4273205,"Запеканка творожная Зелёная Линия, 200г",0.744,2031113,4401207,"Запеканка творожная с вишней Перекрёсток Select, 200г",0.715
60,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Запеканка твор.с кл/пап.шт.,запеканка твор с кл пап шт,169,11.6,4.5,20.4,200,True,1599232,4344257,"Запеканка творожная с клубникой и папайей Зелёная Линия, 200г",59,0.0,0,0.757,False,1494445,4273205,"Запеканка творожная Зелёная Линия, 200г",0.740,1615181,4344256,"Запеканка творожная с черноплодной рябиной и чёрной смородиной Шеф Перекрёсток, 200г",0.722
98,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс ВИШНЕВЫЙ,морс вишневый,42,0,0,10.5,0.5,True,1429767,4187802,"Морс Вишневый Зелёная Линия, 500мл",100,0.0,500,1.000,True,2028748,4413748,"Морс Брусничный Перекрёсток Select, 250мл",0.776,2114956,78037391,"Бамбл вишневый, 370мл",0.577
99,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс ОБЛЕПИХОВЫЙ,морс облепиховый,41.6,0,0,10.4,0.5,True,1429768,4187803,"Морс Облепиховый Зелёная Линия, 500мл",100,0.0,500,1.000,True,1512199,4297530,"Морс облепиховый Зелёная Линия, 1л",0.992,2042252,4421818,"Чай зелёный Облепиховый с мятой негазированный Перекрёсток Select, 500мл",0.860
101,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс клюквенный,морс клюквенный,41,0,0,10.4,0.5,True,1429770,4187805,"Морс клюквенный Зелёная Линия, 500мл",100,0.0,500,1.000,True,1512198,4297529,"Морс клюквенный Зелёная Линия, 1л",0.994,2028748,4413748,"Морс Брусничный Перекрёсток Select, 250мл",0.754
102,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс лесные ягоды,морс лесные ягоды,40,0,0,10,0.5,True,1498773,4280082,"Морс Лесные ягоды Зелёная Линия, 500мл",100,0.0,500,1.000,True,1617646,4356603,"Холодный чай 28 Seeds Иван-Чай Колд Брю Лесные Ягоды безалкогольный, 250мл",0.797,1512199,4297530,"Морс облепиховый Зелёная Линия, 1л",0.706
103,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс клюквенный шт.,морс клюквенный шт,40,0,0,10,1,True,1512198,4297529,"Морс клюквенный Зелёная Линия, 1л",91,0.0,,0.945,False,1429770,4187805,"Морс клюквенный Зелёная Линия, 500мл",0.939,2028748,4413748,"Морс Брусничный Перекрёсток Select, 250мл",0.727
104,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс облепиховый шт.,морс облепиховый шт,40,0,0,10,1,True,1512199,4297530,"Морс облепиховый Зелёная Линия, 1л",91,0.0,,0.949,False,1429768,4187803,"Морс Облепиховый Зелёная Линия, 500мл",0.941,2042252,4421818,"Чай зелёный Облепиховый с мятой негазированный Перекрёсток Select, 500мл",0.817
105,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Морс черносмородиновый шт.,морс черносмородиновый шт,40,0,0,10,1,True,1512200,4297531,"Морс черносмородиновый Зелёная Линия, 1л",94,0.0,,0.962,True,1429769,4187804,"Морс черносмородиновый Зелёная Линия, 500мл",0.954,2028748,4413748,"Морс Брусничный Перекрёсток Select, 250мл",0.730
301,EXTERNAL_BRAND,external_brand,TAS.STORY Драже МИНДАЛЬ СОЛ.КАРАМЕЛЬ,драже миндаль сол карамель,590,19.2,45,27.1,40,True,1848448,4388467,"Драже Tasty Story Миндаль Солёная Карамель, 40г",92,0.0,0,0.950,True,2009088,78036473,"Меренга Шоколадная с карамелью и арахисом, 60г",0.531,1838834,78035830,"Раф Соленая Карамель с орехами, 200мл",0.460
619,EXTERNAL_BRAND,external_brand,PINCH&DROP Ос.ПЮРЕ МАР.КОС.фр.д/с/к/д.,ос пюре мар кос фр д с к д,,,,,1,False,1433383,4192791,"Фишкейки с картофельным пюре и соусом тар-тар Перекрёсток Select, 280г",52,,279,0.314,False,1574331,4312150,"Азу из говядины с картофельным пюре Перекрёсток Select, 300г",0.305,1828718,4382076,"Курица по-французски с картофельным пюре Перекрёсток Select, 250г",0.300
302,EXTERNAL_BRAND,external_brand,TAS.STORY Драже КЕШЬЮ МАЛИНА,драже кешью малина,572.4,15.6,43.4,29.8,40,True,1848450,4388468,"Драже Tasty Story Кешью Малина, 40г",100,0.0,0,1.000,True,2114174,78037424,Основа Малина 9г,0.424,1837366,78035791,"Латте Малина Можжевельник, 400мл",0.417
182,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Котл.из инд/пюре из бат.шт.,котл из инд пюре из бат шт,258,7.2,7.3,5.8,220,True,1582452,4327212,"Котлеты из индейки с пюре из батата Зелёная Линия, 220г",61,0.0,0,0.765,True,1574331,4312150,"Азу из говядины с картофельным пюре Перекрёсток Select, 300г",0.586,2063106,4403475,"Котлеты Сочные из индейки жареные Перекрёсток Select, 240г",0.585
183,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Котлеты из ин.на пару/ов.шт.,котлеты из ин на пару ов шт,88,3.4,3.3,3,250,True,1582449,4327213,"Котлеты из индейки на пару с овощами Зелёная Линия, 250г",80,0.0,0,0.880,True,2119609,4431933,"Котлеты куриные Перекрёсток Select, 160г",0.576,2039520,4422205,"Котлеты из индейки с гречкой отварной Перекрёсток Select, 220г",0.528
303,EXTERNAL_BRAND,external_brand,TAS.STORY Яблоко с корицей вяленые,яблоко с корицей вяленые,243,0.9,0.3,65.9,25,True,1848447,4388469,"Яблоко Tasty Story с корицей вяленое, 25г",80,0.0,0,0.880,True,1592163,4335249,"Блины с яблоком мёдом и корицей Перекрёсток Select, 240г",0.594,1828722,4381912,"Плов с курицей Перекрёсток Select, 300г",0.490
304,EXTERNAL_BRAND,external_brand,TAS.STORY Дыня вяленая,дыня вяленая,341,0.7,0.1,82.2,30,True,1848446,4388470,"Дыня  Tasty Story вяленая, 30г",100,0.0,0,1.000,True,1848455,4388471,"Хурма Tasty Story вяленая, 30г",0.628,2118497,4437972,"Солянка мясная Перекрёсток Select, 250г",0.328
305,EXTERNAL_BRAND,external_brand,TAS.STORY Хурма вяленая,хурма вяленая,230,2,0.6,55,30,True,1848455,4388471,"Хурма Tasty Story вяленая, 30г",100,0.0,0,1.000,True,1848446,4388470,"Дыня  Tasty Story вяленая, 30г",0.606,1800452,78035069,"Матча Латте, 400мл",0.388
316,EXTERNAL_BRAND,external_brand,LEMONARDO Нап.ГРУШЕВ.б/а с/сод.с/г,нап грушев б а с сод с г,28,0,0,7,330,True,1836205,4381194,"Напиток газированный Lemonardo Грушевый сокосодержащий, 330мл",47,0.0,0,0.684,True,1625200,78034899,"Айс Латте с соевым напитком, 350мл",0.419,1800440,78034903,"Бейбичино Бабл Гам с соевым напитком, 200мл",0.379
300,EXTERNAL_BRAND,external_brand,TAS.STORY Драже МИНДАЛЬ вкус.пряника,драже миндаль вкус пряника,566.5,18.1,42,29.1,40,True,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",67,0.0,0,0.800,True,1848448,4388467,"Драже Tasty Story Миндаль Солёная Карамель, 40г",0.777,2119920,78037345,"Пирожное со вкусом пина колада, 70г",0.511
620,EXTERNAL_BRAND,external_brand,PINCH&DROP Основа ПЮРЕ ЧЕР.фр.д/с/к/д.,основа пюре чер фр д с к д,,,,,1,False,2114294,78037428,Основа Тыква 9г,57,,8,0.343,False,2127128,78037558,Основа Тыква 25г,0.327,2114174,78037424,Основа Малина 9г,0.327
264,EXTERNAL_BRAND,external_brand,ЗЕЛ.ЛИН.Крем-суп грибной шт.,крем суп грибной шт,73,3,4,6,300,True,1581963,4324261,"Крем-суп грибной Перекрёсток Select, 300г",100,0.0,0,1.000,True,1509597,4273862,"Суп-пюре из тыквы Перекрёсток Select, 300г",0.637,1394357,4163238,"Суп гороховый с копченостями Перекрёсток Select, 300г",0.635
