dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
1,AUTO,strong_kbju,ФКВ Онигири с филе семги,онигири с филе семги,210,4.5,7.9,30.2,110,True,1835658,4376941,"Онигири с филе семги Перекрёсток Select, 110г",100,0.0,0,1.000,True,1836398,4376944,"Онигири с натуральным крабом Перекрёсток Select, 110г",0.743,1847289,78036007,"Онигири запечённый с курицей сладкий чили, 160г",0.718
2,AUTO,strong_kbju,ФКВ Онигири с креветками белоногими,онигири с креветками белоногими,207.8,7,3.8,36.4,110,True,1835660,4376942,"Онигири с креветками белоногими Перекрёсток Select, 110г",100,0.0,0,1.000,True,1835658,4376941,"Онигири с филе семги Перекрёсток Select, 110г",0.667,1836398,4376944,"Онигири с натуральным крабом Перекрёсток Select, 110г",0.623
3,AUTO,strong_kbju,ФКВ Онигири с натуральным крабом,онигири с натуральным крабом,223,4.2,9.4,30.6,110,True,1836398,4376944,"Онигири с натуральным крабом Перекрёсток Select, 110г",100,0.0,0,1.000,True,1835658,4376941,"Онигири с филе семги Перекрёсток Select, 110г",0.743,1835660,4376942,"Онигири с креветками белоногими Перекрёсток Select, 110г",0.623
4,REVIEW,review_threshold,ФКВ Сэнд-ролл кур.ст/кар.по-дер/с.с.,сэнд ролл кур ст кар по дер с с,152,4.7,6.4,19,315,True,1832504,4383605,"Сэндвич-ролл с куриными стрипсами картофелем по-деревенски и сырным соусом Перекрёсток Select, 315г",56,0.0,0,0.738,False,1389975,4133313,"Сэндвич-ролл Перекрёсток Select с индейкой, 200г",0.683,1503936,4274164,"Сэндвич-ролл с курицей и морковью по-корейски Перекрёсток Select, 200г",0.601
5,AUTO,strong_kbju,ФКВ Сэндвич с ростбифом/соусом адж.,сэндвич с ростбифом соусом адж,450,29,19,40,180,True,1855652,4392892,"Сэндвич с ростбифом и соусом с аджикой Перекрёсток Select, 180г",93,0.0,0,0.957,True,1855651,4392893,"Сэндвич на угольном хлебе с индейкой перцем гриль и пикантным соусом Перекрёсток Select, 180г",0.752,2035717,4420372,"Сэндвич с курицей су-вид ананасами и кисло-сладким соусом Перекрёсток Select, 160г",0.591
6,REVIEW,review_threshold,ФКВ Сэн.на уг.хл.ин/пер.гр/пик.соус.,сэн на уг хл ин пер гр пик соус,390,22,15,43,180,True,1855651,4392893,"Сэндвич на угольном хлебе с индейкой перцем гриль и пикантным соусом Перекрёсток Select, 180г",63,0.0,0,0.776,True,1804126,4372373,"Паста с куриным филе и соусом песто Перекрёсток Select, 250 г",0.464,2062772,4428531,"Соус Барбекю Перекрёсток Select, 30г",0.422
7,REVIEW,review_threshold,ФКВ Чиабатта ол/кур.пр.тр/м-горч.с.,чиабатта ол кур пр тр м горч с,319,10,16,35,210,True,1855527,4399430,"Чиабатта с оливками и курицей в пряных травах и медово-горчичным соусом Перекрёсток Select, 210г",61,0.0,0,0.764,False,2009493,78036514,"Чиабатта с ветчиной сыром и соусом тар-тар, 130г",0.699,2039690,4423500,"Мини-чиабатта с куриной ветчиной омлетом и сыром Перекресток Select, 255г",0.694
78,AUTO,strong_kbju,ФК Сырники с курагой жареные шт.,сырники с курагой жареные шт,217,13.2,7.4,24.4,220,True,1438870,4147836,"Сырники с курагой Перекрёсток Select, 220г",100,0.0,0,1.000,True,1570981,4200603,"Сырники жареные Перекрёсток Select, 110г",0.963,1440678,4201519,"Сырники жареные Перекрёсток Select, 440г",0.963
8,AUTO,strong_kbju,ROSTIC'S Шефролл ОРИГИНАЛЬНЫЙ ФИРМ.,шефролл оригинальный фирм,231,11.6,9.7,24.5,184,True,2028066,4410443,"Шефролл Rostic'S Оригинальный Фирменный, 184г",89,0.0,0,0.933,True,2028099,4410444,"Шефбургер Rostic'S Оригинальный Фирменный, 192г",0.743,2009121,78036474,"Торт Шоколадно-Миндальный, 90г",0.598
9,AUTO,strong_kbju,ROSTIC'S Шефбургер ОРИГИНАЛЬНЫЙ ФИР.,шефбургер оригинальный фир,213,14.1,8.4,20,192,True,2028099,4410444,"Шефбургер Rostic'S Оригинальный Фирменный, 192г",92,0.0,0,0.950,True,2028066,4410443,"Шефролл Rostic'S Оригинальный Фирменный, 184г",0.730,2009121,78036474,"Торт Шоколадно-Миндальный, 90г",0.505
10,REVIEW,review_threshold,ROSTIC'S Байт.ФИРМ.кур.филе с.т.охл.,байт фирм кур филе с т охл,199,16.4,8.9,13.3,194,True,2026770,4410445,"Байтсы Rostic'S Фирменные из куриного филе с соусом терияки, 194г",56,0.0,0,0.739,True,1619510,4364440,"Салат с куриным филе фунчозой и овощами Перекрёсток Select, 220г",0.622,1804126,4372373,"Паста с куриным филе и соусом песто Перекрёсток Select, 250 г",0.621
11,REVIEW,review_threshold,ФКВ Cэн.кур.су-в.ан/кис-сл.с.,cэн кур су в ан кис сл с,194,11.1,3.8,28.9,160,True,2035717,4420372,"Сэндвич с курицей су-вид ананасами и кисло-сладким соусом Перекрёсток Select, 160г",52,0.0,0,0.711,False,2027271,4409320,"Курица с ананасами в кисло-сладком соусе и рисом Перекрёсток Select, 220г",0.649,2024160,4407903,"Блинчики с курицей и грибами в сливочном соусе Перекрёсток Select, 400г",0.572
12,AUTO,strong_kbju,ФКВ Хачапури по-аджарски,хачапури по аджарски,232,12.9,9.5,23.5,250,True,2038309,4422351,"Хачапури Перекрёсток Select, 250г",100,0.0,0,1.000,True,2038308,4422352,"Хачапури по-мегрельски с сулугуни зеленью и грецким орехом Перекрёсток Select, 250г",0.692,2013412,4405773,"Спаржа По-Корейски Перекрёсток Select, 200г",0.614
25,AUTO,strong_kbju,ПЕРЕКР.SEL.Пирожок с вишней,пирожок с вишней,295,5.2,3.3,61.3,90,True,2129020,4442440,"Пирожок с вишней Перекрёсток Select, 90г",100,0.0,0,1.000,True,1803235,4377559,"Блины с вишней Перекрёсток Select, 140 г",0.710,2129018,4442907,"Пирожок с капустой Перекрёсток Select, 90г",0.688
283,REVIEW,review_threshold,ПЕРЕКР.SEL.Кокос,кокос,354,3.3,33.5,6.2,170,True,2125045,4442788,"Кокос Перекрёсток Select, 80г",100,0.0,90,1.000,True,2123375,4441573,"Кокос  Перекрёсток Select, 170г",1.000,1846291,78036191,"Какао, 200мл",0.542
13,REVIEW,review_threshold,ФКВ Хачапури по-мег.сыр.с/зел/гр.ор.,хачапури по мег сыр с зел гр ор,430,13.3,29.4,28.2,250,True,2038309,4422351,"Хачапури Перекрёсток Select, 250г",100,33.4,0,0.867,True,2038308,4422352,"Хачапури по-мегрельски с сулугуни зеленью и грецким орехом Перекрёсток Select, 250г",0.791,1430495,4189743,"Сырнички с грушей и персиком Зелёная Линия, 120г",0.505
14,REVIEW,review_threshold,ФКВ Мини-чиабатта курин.ветч/ом/сыр.,мини чиабатта курин ветч ом сыр,279,9,17,24,255,True,2039690,4423500,"Мини-чиабатта с куриной ветчиной омлетом и сыром Перекресток Select, 255г",78,0.0,0,0.871,True,2009493,78036514,"Чиабатта с ветчиной сыром и соусом тар-тар, 130г",0.728,2123212,78037576,"Чиабатта с курицей и моцарелой, 155г",0.709
15,AUTO,strong_kbju,ПЕРЕКР.SEL.Пирог ОСЕТИНСКИЙ с сыром,пирог осетинский с сыром,285,13,13,30,200,True,2042778,4425835,"Пирог Осетинский с сыром Перекрёсток Select, 200г",100,0.0,0,1.000,True,2044092,4425838,"Пирог Осетинский с курицей и сыром Перекрёсток Select, 200г",0.961,2042777,4425837,"Пирог Осетинский с картофелем и сыром Перекрёсток Select, 200г",0.929
