dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
4,REVIEW,review_threshold,ФКВ Сэнд-ролл кур.ст/кар.по-дер/с.с.,сэнд ролл кур ст кар по дер с с,152,4.7,6.4,19,315,True,1832504,4383605,"Сэндвич-ролл с куриными стрипсами картофелем по-деревенски и сырным соусом Перекрёсток Select, 315г",56,0.0,0,0.738,False,1389975,4133313,"Сэндвич-ролл Перекрёсток Select с индейкой, 200г",0.683,1503936,4274164,"Сэндвич-ролл с курицей и морковью по-корейски Перекрёсток Select, 200г",0.601
6,REVIEW,review_threshold,ФКВ Сэн.на уг.хл.ин/пер.гр/пик.соус.,сэн на уг хл ин пер гр пик соус,390,22,15,43,180,True,1855651,4392893,"Сэндвич на угольном хлебе с индейкой перцем гриль и пикантным соусом Перекрёсток Select, 180г",63,0.0,0,0.776,True,1804126,4372373,"Паста с куриным филе и соусом песто Перекрёсток Select, 250 г",0.464,2062772,4428531,"Соус Барбекю Перекрёсток Select, 30г",0.422
7,REVIEW,review_threshold,ФКВ Чиабатта ол/кур.пр.тр/м-горч.с.,чиабатта ол кур пр тр м горч с,319,10,16,35,210,True,1855527,4399430,"Чиабатта с оливками и курицей в пряных травах и медово-горчичным соусом Перекрёсток Select, 210г",61,0.0,0,0.764,False,2009493,78036514,"Чиабатта с ветчиной сыром и соусом тар-тар, 130г",0.699,2039690,4423500,"Мини-чиабатта с куриной ветчиной омлетом и сыром Перекресток Select, 255г",0.694
10,REVIEW,review_threshold,ROSTIC'S Байт.ФИРМ.кур.филе с.т.охл.,байт фирм кур филе с т охл,199,16.4,8.9,13.3,194,True,2026770,4410445,"Байтсы Rostic'S Фирменные из куриного филе с соусом терияки, 194г",56,0.0,0,0.739,True,1619510,4364440,"Салат с куриным филе фунчозой и овощами Перекрёсток Select, 220г",0.622,1804126,4372373,"Паста с куриным филе и соусом песто Перекрёсток Select, 250 г",0.621
11,REVIEW,review_threshold,ФКВ Cэн.кур.су-в.ан/кис-сл.с.,cэн кур су в ан кис сл с,194,11.1,3.8,28.9,160,True,2035717,4420372,"Сэндвич с курицей су-вид ананасами и кисло-сладким соусом Перекрёсток Select, 160г",52,0.0,0,0.711,False,2027271,4409320,"Курица с ананасами в кисло-сладком соусе и рисом Перекрёсток Select, 220г",0.649,2024160,4407903,"Блинчики с курицей и грибами в сливочном соусе Перекрёсток Select, 400г",0.572
283,REVIEW,review_threshold,ПЕРЕКР.SEL.Кокос,кокос,354,3.3,33.5,6.2,170,True,2125045,4442788,"Кокос Перекрёсток Select, 80г",100,0.0,90,1.000,True,2123375,4441573,"Кокос  Перекрёсток Select, 170г",1.000,1846291,78036191,"Какао, 200мл",0.542
13,REVIEW,review_threshold,ФКВ Хачапури по-мег.сыр.с/зел/гр.ор.,хачапури по мег сыр с зел гр ор,430,13.3,29.4,28.2,250,True,2038309,4422351,"Хачапури Перекрёсток Select, 250г",100,33.4,0,0.867,True,2038308,4422352,"Хачапури по-мегрельски с сулугуни зеленью и грецким орехом Перекрёсток Select, 250г",0.791,1430495,4189743,"Сырнички с грушей и персиком Зелёная Линия, 120г",0.505
14,REVIEW,review_threshold,ФКВ Мини-чиабатта курин.ветч/ом/сыр.,мини чиабатта курин ветч ом сыр,279,9,17,24,255,True,2039690,4423500,"Мини-чиабатта с куриной ветчиной омлетом и сыром Перекресток Select, 255г",78,0.0,0,0.871,True,2009493,78036514,"Чиабатта с ветчиной сыром и соусом тар-тар, 130г",0.728,2123212,78037576,"Чиабатта с курицей и моцарелой, 155г",0.709
16,REVIEW,review_threshold,ПЕРЕКР.SEL.Пирог ОСЕТИНСКИЙ кар/сыр.,пирог осетинский кар сыр,275,9.5,10,36.5,200,True,2042777,4425837,"Пирог Осетинский с картофелем и сыром Перекрёсток Select, 200г",80,0.0,0,0.880,False,2042778,4425835,"Пирог Осетинский с сыром Перекрёсток Select, 200г",0.854,2044092,4425838,"Пирог Осетинский с курицей и сыром Перекрёсток Select, 200г",0.835
17,REVIEW,review_threshold,ПЕРЕКР.SEL.Пирог ОСЕТИНСКИЙ кур/сыр.,пирог осетинский кур сыр,285,14,10,33,200,True,2044092,4425838,"Пирог Осетинский с курицей и сыром Перекрёсток Select, 200г",83,0.0,0,0.897,False,2042778,4425835,"Пирог Осетинский с сыром Перекрёсток Select, 200г",0.886,2042777,4425837,"Пирог Осетинский с картофелем и сыром Перекрёсток Select, 200г",0.835
