dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual
41,UNMATCHED,generic_a_collision,ФК Клаб Сэндвич двойной с куриц/бек.,клаб сэндвич двойной с куриц бек,312,7.5,21.2,22.6,200,True,2120925,78037531,"Клаб Сэндвич двойной с курицей и беконом, 100г",89,0.0,100,0.933,True
76,UNMATCHED,generic_a_collision,ФК Сырники жареные шт.,сырники жареные шт,217,14,8.7,20.5,220,True,1570981,4200603,"Сырники жареные Перекрёсток Select, 110г",100,0.0,110,1.000,True
70,UNMATCHED,generic_a_collision,ПЕРЕКР.SELECT Блинчики с мясом,перекр select блинчики с мясом,270,10.9,14.4,23,240,True,2116980,4437477,"Блинчики с мясом Перекрёсток Select, 240г",100,0.0,0,1.000,True
71,UNMATCHED,generic_a_collision,ПЕРЕКР.SEL.Блинчики с мясом,блинчики с мясом,270,10.9,14.4,23,160,True,2116980,4437477,"Блинчики с мясом Перекрёсток Select, 240г",100,0.0,80,1.000,True
73,UNMATCHED,generic_a_collision,ПЕРЕКР.SEL.Блинчики с мясом,блинчики с мясом,270,10.9,14.4,23,400,True,2116980,4437477,"Блинчики с мясом Перекрёсток Select, 240г",100,0.0,160,1.000,True
80,UNMATCHED,generic_a_collision,ФК Сырники жареные шт,сырники жареные шт,217,14,8.7,20.5,110,True,1570981,4200603,"Сырники жареные Перекрёсток Select, 110г",100,0.0,0,1.000,True
81,UNMATCHED,generic_a_collision,ФК Сырники жареные шт.,сырники жареные шт,217,14,8.7,20.5,440,True,1570981,4200603,"Сырники жареные Перекрёсток Select, 110г",100,0.0,330,1.000,True
92,UNMATCHED,low_score,ШЕФ ПЕРЕКР.Закуска ХУМУС КЛАССИЧЕСК.,перекр закуска хумус классическ,220,5.5,20,10,150,True,1430446,4183935,"Хумус Шеф Перекрёсток, 150г",46,0.0,0,0.677,True
93,UNMATCHED,low_score,ПЕРЕКР.SEL.Чер-пер.сл.пик.фар.с.с.м.,чер пер сл пик фар с с м,442.3,4,45.2,11.1,130,True,2038314,4417771,"Черри-перчики сладкие пикантные фаршированные сливочным сыром в масле Перекрёсток Select, 130г",48,0.0,0,0.690,True
107,UNMATCHED,low_score,ШЕФ ПЕРЕК.Пюре CМУЗИ ман-мор.фр/ов.,перек пюре cмузи ман мор фр ов,45.5,0.5,0.3,10.2,250,True,1609621,4352869,"Смузи с манго и морковью Перекрёсток Select, 250мл",48,0.0,0,0.689,False
